basic_info.cr_no,basic_info.company_name_eng,name_history.effective_date,name_history.eng,name_history.chi
0066403,KWONG YEE HING LAND & FINANCE LIMITED,19-DEC-1978,KWONG YEE HING LAND & FINANCE LIMITED,廣裕興地產財務有限公司
0051758,"CALIFORNIA INSURANCE COMPANY, LIMITED",25-FEB-1977,"CALIFORNIA INSURANCE COMPANY, LIMITED",加洲保險有限公司
0005345,FAR EAST INTERNATIONAL INVESTMENT AND FINANCE LIMITED,05-AUG-1971,FAR EAST INTERNATIONAL INVESTMENT AND FINANCE LIMITED,遠東金融(國際)有限公司
0054194,NAN FUNG FINANCE LIMITED,08-JUL-1977,NAN FUNG FINANCE LIMITED,南豐財務有限公司
0059001,ADC-CHET FINANCE LIMITED,14-MAR-1978,ADC,-CHET FINANCE LIMITED美國志達財務有限公司
0007096,FAR EAST REAL ESTATE AND AGENCY (H.K.) LIMITED,16-OCT-1973,FAR EAST REAL ESTATE AND AGENCY ,(H.K.) LIMITED遠東物業代理(香港)有限公司
0029874,PO TUNG LOAN AND LAND INVESTMENT LIMITED,18-JAN-1973,PO TUNG LOAN AND LAND INVESTMENT LIMITED,寶通貸款置業有限公司
0076100,SUPERYIELD FINANCE LIMITED,07-DEC-1979,SUPERYIELD FINANCE LIMITED,兆億財務有限公司
0080313,YIU FUNG FINANCE COMPANY LIMITED,28-MAR-1980,YIU FUNG FINANCE COMPANY LIMITED,耀豐財務有限公司
0026651,HONG KONG MORTGAGE & LOAN CORPORATION LIMITED,28-JAN-1972,HONG KONG MORTGAGE & LOAN CORPORATION LIMITED,香港貸款財務有限公司
0083639,GRAND PACIFIC EQUITY LIMITED,29-NOV-2002,GRAND PACIFIC EQUITY LIMITED,君亞資產管理有限公司
0032554,VERDER FINANCE COMPANY LIMITED,20-MAR-1973,VERDER FINANCE COMPANY LIMITED,維大財務有限公司
0087578,FORTWAY FINANCE LIMITED,30-JAN-1981,FORTWAY FINANCE LIMITED,匯澤財務有限公司
0039039,MARUBENI HONG KONG & SOUTH CHINA LIMITED,02-APR-2001,MARUBENI HONG KONG & SOUTH CHINA LIMITED,丸紅香港華南有限公司
0012849,YU TAI HING COMPANY LIMITED,01-JUN-1966,YU TAI HING COMPANY LIMITED,裕泰興有限公司
0086141,BEST FORTUNE FINANCE LIMITED,09-JAN-1981,BEST FORTUNE FINANCE LIMITED,致益財務有限公司
0095596,KWONG SANG HONG FINANCE COMPANY LIMITED -THE-,03-APR-1981,KWONG SANG HONG FINANCE COMPANY LIMITED ,-THE-廣生行財務有限公司
0043244,KUMAGAI INTERNATIONAL LIMITED,20-JUN-1975,KUMAGAI INTERNATIONAL LIMITE,D
0034423,ASIASEC FINANCE LIMITED,24-JAN-1989,ASIASEC FINANCE LIMITED,亞證財務有限公司
0030068,SHOWA LEASING ( HONG KONG ) LIMITED,24-OCT-1972,SHOWA LEASING ,( HONG KONG ) LIMITED昭和利市有限公司
0025560,WINTON FINANCIAL LIMITED,11-AUG-2006,WINTON FINANCIAL LIMITED,運通泰財務有限公司
0029159,SHENWAN HONGYUAN (H.K.) LIMITED,21-MAY-2015,SHENWAN HONGYUAN ,(H.K.) LIMITED申萬宏源(香港)有限公司
0095988,CHUNG KIU FINANCE COMPANY LIMITED,10-APR-1981,CHUNG KIU FINANCE COMPANY LIMITED,中僑財務有限公司
0004970,YU FUNG COMPANY LIMITED,12-DEC-1957,YU FUNG COMPANY LIMITED,(裕豐有限公司)
0033959,FOUNTAIN FINANCE LIMITED,06-JUN-1973,FOUNTAIN FINANCE LIMITED,方興財務有限公司
0032095,TUNG TAI FINANCE LIMITED,23-FEB-1973,TUNG TAI FINANCE LIMITED,東泰財務有限公司
0023324,ESSMAN CONSTRUCTION COMPANY LIMITED,26-MAR-1971,ESSMAN CONSTRUCTION COMPANY LIMITED,常安工程有限公司
0069487,HANG TUNG FINANCE COMPANY LIMITED,11-MAY-1979,HANG TUNG FINANCE COMPANY LIMITED,亨通財務有限公司
