basic_info.cr_no,basic_info.company_name_eng,registered_office
0066403,KWONG YEE HING LAND & FINANCE LIMITED,"RM F 13/F SHING LEE COMM BLDG 6-12 WING KUT ST CENTRAL, HONG KONG"
0051758,"CALIFORNIA INSURANCE COMPANY, LIMITED","ROOM 1607-8 CHINA INSURANCE GROUP BLDG 141 DES VOEUX ROAD CENTRAL, HONG KONG"
0005345,FAR EAST INTERNATIONAL INVESTMENT AND FINANCE LIMITED,"16/F FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL, HONG KONG"
0054194,NAN FUNG FINANCE LIMITED,"21ST-23RD FLOORS, NAN FUNG TOWER, 88 CONNAUGHT ROAD C & 173 DES VOEUX ROAD C, CENTRAL, HONG KONG"
0059001,ADC-CHET FINANCE LIMITED,"1ST PODIUM FLOOR KWAI FONG TERRACE KCTL 380 KWAI FUK ROAD KWAI CHUNG NT, HONG KONG"
0007096,FAR EAST REAL ESTATE AND AGENCY (H.K.) LIMITED,"16/F FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL, HONG KONG"
0029874,PO TUNG LOAN AND LAND INVESTMENT LIMITED,"OFFICE 2 G/F KAI WONG COMMERCIAL BLDG 222 QUEEN'S RD C, HONG KONG"
0076100,SUPERYIELD FINANCE LIMITED,"NO 6 WO ON LANE 2ND FLOOR CENTRAL, HONG KONG"
0080313,YIU FUNG FINANCE COMPANY LIMITED,"TOP FLOOR WING SHUN BUILDING 64-66 BONHAM STRAND WEST, HONG KONG"
0026651,HONG KONG MORTGAGE & LOAN CORPORATION LIMITED,"UNITS 1105-1112 11/F WEST TOWER SHUN TAK CTR 168-200 CONNAUGHT RD CENTRAL, HONG KONG"
0083639,GRAND PACIFIC EQUITY LIMITED,"UNIT 2306 NO. 9 QUEEN'S RD CENTRAL, HONG KONG"
0032554,VERDER FINANCE COMPANY LIMITED,"SUITE 3201, EDINBURGH TOWER, THE LANDMARK, CENTRAL, HONG KONG"
0087578,FORTWAY FINANCE LIMITED,"7TH FLOOR, CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL, HONG KONG"
0039039,MARUBENI HONG KONG & SOUTH CHINA LIMITED,"20TH FLOOR, TOWER I, ADMIRALTY CENTRE, 18 HARCOURT RD, HONG KONG"
0012849,YU TAI HING COMPANY LIMITED,"12TH FLOOR V HEUN BUILDING 138 QUEEN'S ROAD CENTRAL, HONG KONG"
0086141,BEST FORTUNE FINANCE LIMITED,"14/F MAN YEE BLDG 68 DES VOEUX RD CENTRAL, HONG KONG"
0095596,KWONG SANG HONG FINANCE COMPANY LIMITED -THE-,"26/F., CHINA EVERGRANDE CENTRE, 38 GLOUCESTER ROAD, WANCHAI, HONG KONG"
0043244,KUMAGAI INTERNATIONAL LIMITED,"UNIT 2104, 21/F, NANGYANG PLAZA, 57 HUNG TO ROAD, KWUN TONG, KLN, HONG KONG"
0034423,ASIASEC FINANCE LIMITED,"9/F., ALLIED KAJIMA BUILDING 138 GLOUCESTER ROAD WANCHAI, HONG KONG"
0030068,SHOWA LEASING ( HONG KONG ) LIMITED,"ROOM 2105, 21/F., C.C. WU BUILDING 302-308 HENNESSY ROAD WAN CHAI, HONG KONG"
0025560,WINTON FINANCIAL LIMITED,"ROOM 1101-1110 11/F PHASE I ARGYLE CENTRE 688 NATHAN ROAD MONGKOK KOWLOON, HONG KONG"
0029159,SHENWAN HONGYUAN (H.K.) LIMITED,"LEVEL 19 28 HENNESSY ROAD, HONG KONG"
0095988,CHUNG KIU FINANCE COMPANY LIMITED,"BLOCK 3B 16TH FLOOR CHUNG KIU COMMERCIAL BUILDING 47-51 SHAN TUNG STREET KOWLOON, HONG KONG"
0004970,YU FUNG COMPANY LIMITED,"12TH FLOOR V HEUN BUILDING 138 QUEEN'S ROAD CENTRAL, HONG KONG"
0033959,FOUNTAIN FINANCE LIMITED,"23/F HIP SHING HONG CTR 55 DES VOEUX RD CENTRAL, HONG KONG"
0032095,TUNG TAI FINANCE LIMITED,"508 TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL, HONG KONG"
0023324,ESSMAN CONSTRUCTION COMPANY LIMITED,"ROOM 2211, 22/F., WING ON HOUSE, 71 DES VOEUX ROAD CENTRAL, HONG KONG"
0069487,HANG TUNG FINANCE COMPANY LIMITED,"UNIT 603A, 6/F., ADMIRALTY CENTRE, TOWER 1, 18 HARCOURT ROAD, ADMIRALTY, HONG KONG"
